département;vitesse max autorisée;autre véhicule;indéterminable;indéterminé;vehicules deux roues;vehicules leger;vehicules lourd;gravité indéterminé;indemne;tué;blessé hospitalisé;blessé léger;autre;hommes;femmes;jeune;adulte;senior;conducteur;passager;piéton;clustering kmeans
Cher;69.05538461538461;0.004615384615384616;0.004615384615384616;0.0;0.38769230769230767;0.9738461538461538;0.1476923076923077;0.0015384615384615385;0.8323076923076923;0.11076923076923077;0.6430769230769231;0.5984615384615385;0.013846153846153847;1.4646153846153847;0.7076923076923077;0.3353846153846154;1.3815384615384616;0.45076923076923076;1.5061538461538462;0.5646153846153846;0.11538461538461539;0
Corrèze;66.6125574272588;0.0030627871362940277;0.0015313935681470138;0.0;0.37978560490045943;1.0229709035222052;0.16539050535987748;0.0;0.7917304747320061;0.08269525267993874;0.5497702909647779;0.7044410413476263;0.0015313935681470138;1.4349157733537519;0.6921898928024502;0.29096477794793263;1.3721286370597243;0.46248085758039814;1.5681470137825422;0.41807044410413474;0.14241960183767227;0
Corse-du-Sud;57.20180722891566;0.002008032128514056;0.002008032128514056;0.0;0.5933734939759037;1.0271084337349397;0.142570281124498;0.001004016064257028;0.8885542168674698;0.050200803212851405;0.4146586345381526;0.9377510040160643;0.020080321285140562;1.5431726907630523;0.7289156626506024;0.2540160642570281;1.642570281124498;0.37349397590361444;1.7540160642570282;0.40763052208835343;0.13052208835341367;1
Creuse;72.54098360655738;0.00546448087431694;0.00546448087431694;0.0;0.3442622950819672;0.9562841530054644;0.16939890710382513;0.0;0.9344262295081968;0.14207650273224043;0.7704918032786885;0.30601092896174864;0.0;1.3879781420765027;0.7650273224043715;0.29508196721311475;1.278688524590164;0.5792349726775956;1.46448087431694;0.5573770491803278;0.13114754098360656;0
Côte-d'Or;73.1706102117061;0.0037359900373599006;0.0024906600249066002;0.0;0.3686176836861768;1.0398505603985055;0.18929016189290163;0.0;0.8779576587795765;0.15442092154420922;0.7210460772104608;0.5753424657534246;0.014943960149439602;1.6214196762141968;0.6924034869240349;0.26525529265255293;1.5703611457036115;0.47447073474470736;1.5902864259028642;0.5940224159402242;0.1444582814445828;0
Côtes-d'Armor;64.34456452638271;0.008264462809917356;0.003178639542275906;0.0;0.40114431023521935;1.0591226954863318;0.18372536554354738;0.0012714558169103624;0.8486967577876668;0.09154481881754609;0.5130324221233312;0.7279084551811824;0.010171646535282899;1.3687221869040052;0.803560076287349;0.30578512396694213;1.3808010171646534;0.4844246662428481;1.6344564526382708;0.4049586776859504;0.14303877940241577;1
Deux-Sèvres;66.07124681933843;0.011450381679389313;0.001272264631043257;0.0;0.41857506361323155;0.9885496183206107;0.18829516539440203;0.005089058524173028;0.7989821882951654;0.11959287531806616;0.6119592875318066;0.6221374045801527;0.006361323155216285;1.4223918575063612;0.7290076335877863;0.356234096692112;1.3804071246819338;0.410941475826972;1.5966921119592876;0.44274809160305345;0.1183206106870229;0
Dordogne;66.01428571428572;0.0025974025974025974;0.0;0.0;0.41818181818181815;1.009090909090909;0.18181818181818182;0.0;0.8532467532467533;0.13636363636363635;0.8051948051948052;0.4857142857142857;0.007792207792207792;1.5142857142857142;0.7584415584415585;0.32987012987012987;1.4025974025974026;0.5376623376623376;1.6090909090909091;0.5597402597402598;0.11168831168831168;0
Doubs;59.11713286713287;0.0017482517482517483;0.0017482517482517483;0.0;0.3479020979020979;1.152972027972028;0.1791958041958042;0.0;0.9877622377622378;0.09090909090909091;0.5148601398601399;0.7298951048951049;0.019230769230769232;1.5463286713286712;0.7578671328671329;0.30332167832167833;1.6232517482517483;0.3715034965034965;1.659965034965035;0.5026223776223776;0.16083916083916083;1
Drôme;69.99046104928458;0.006359300476947536;0.001589825119236884;0.000794912559618442;0.404610492845787;1.0802861685214626;0.2329093799682035;0.001589825119236884;0.9594594594594594;0.10333863275039745;0.5882352941176471;0.7718600953895072;0.008744038155802861;1.6200317965023847;0.7957074721780604;0.2718600953895072;1.6732909379968204;0.46740858505564387;1.717806041335453;0.5723370429252782;0.1343402225755167;1
Essonne;66.6741531664212;0.014543446244477173;0.006075110456553756;0.0;0.32621502209131076;1.206921944035346;0.27816642120765833;0.0003681885125184094;1.0594624447717231;0.027245949926362298;0.15997790868924888;1.1053019145802652;0.027061855670103094;1.6165316642120766;0.7087628865979382;0.22993372606774667;1.8368924889543445;0.25257731958762886;1.8041237113402062;0.3783136966126657;0.16991899852724596;2
Eure;62.003450258769405;0.005175388154111558;0.002875215641173088;0.0;0.3467510063254744;1.1132834962622196;0.17883841288096608;0.0005750431282346176;0.8982173663024727;0.07763082231167337;0.4151811385853939;0.8815411155836688;0.01667625071880391;1.4686601495112133;0.7878090856814262;0.3364002300172513;1.5485911443358251;0.3663024726854514;1.6279470960322024;0.49856239217941345;0.1466359976998275;1
Eure-et-Loir;72.71571906354515;0.012263099219620958;0.0033444816053511705;0.0;0.3333333333333333;1.0189520624303232;0.19286510590858416;0.0011148272017837235;0.882943143812709;0.11148272017837235;0.7012263099219621;0.6700111482720178;0.010033444816053512;1.5930880713489408;0.7636566332218506;0.3255295429208473;1.5930880713489408;0.43701226309921964;1.5473801560758083;0.6644370122630993;0.15496098104793757;0
Finistère;58.53704347826087;0.003130434782608696;0.0020869565217391303;0.0;0.39443478260869563;1.0827826086956522;0.13008695652173913;0.0;0.8264347826086956;0.05530434782608696;0.3739130434782609;0.8859130434782608;0.01217391304347826;1.3523478260869566;0.7770434782608696;0.28243478260869564;1.4500869565217391;0.3933913043478261;1.602086956521739;0.3749565217391304;0.16452173913043477;1
Gard;63.636092912447886;0.00714711137581894;0.007742703990470518;0.0;0.35854675402025016;1.117331745086361;0.17093508040500296;0.0;0.8469326980345444;0.1072066706372841;0.6509827278141751;0.6938653960690887;0.013103037522334724;1.5580702799285289;0.7278141751042287;0.2602739726027397;1.5812983918999404;0.4395473496128648;1.6432400238237046;0.5008933889219773;0.15485407980941035;1
Gers;63.635701275045534;0.012750455373406194;0.0036429872495446266;0.0;0.37522768670309653;0.97632058287796;0.15482695810564662;0.0;0.7468123861566485;0.10200364298724955;0.6302367941712204;0.6411657559198543;0.0036429872495446266;1.3734061930783241;0.7431693989071039;0.3242258652094718;1.214936247723133;0.575591985428051;1.5100182149362478;0.48269581056466304;0.12750455373406194;0
Gironde;63.15889949466592;0.003556054650945162;0.003556054650945162;0.0;0.46172562230956393;1.151413063821823;0.22927194460041175;0.0007486430844095078;1.0862811154781957;0.05652255287291784;0.3228523301516002;0.9365524985962942;0.019651880965749578;1.5816956765861876;0.8016095826314804;0.23713269698671158;1.8051656372824256;0.33632790567097137;1.8216357851394347;0.46397155156279246;0.11734980348119034;2
